Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,912.45,142.69,1758.70,2990.22,761.12,894.31,1493.59,1178.60,169.22,2990.22,314.99,2.00,34.22,784.88,4.46,-21.38,579.56,740.10,92.74,16.14,-16.32,31.02,82.41,137.72,451.68,412.06,337.26,10865.76
Active Clothing,541144,,INE380Z01015,Textiles & Apparels,Garments & Apparels,107.50,112.24,66.77,304.99,50.59,114.81,228.55,182.89,8.85,304.99,45.66,10.00,0.18,89.76,92.78,41.62,57.54,112.19,51.15,41.88,35.81,51.29,65.35,48.38,31.37,37.42,46.54,166.73
Active Infra.,,ACTIVEINFR,INE0KLO01025,Realty,"Residential, Commercial Projects",170.00,59.90,107.74,219.62,30.85,39.51,186.51,85.13,0.00,219.62,101.38,5.00,44.19,9.75,64.76,4.42,31.26,36.19,9.36,,,109.19,,,1.40,,,255.26
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,2040.10,8.35,1372.70,1695.65,700.26,651.64,789.88,219.16,15.38,1695.65,570.72,5.00,240.64,149.20,216.65,208.13,427.16,481.95,300.25,26.41,,0.84,59.42,,204.53,85.19,31.54,16702.60
AD Manum Finance,511359,,INE556D01017,Finance,Non Banking Financial Company (NBFC),53.80,7.67,80.03,96.75,0.22,3.66,1.91,0.65,0.00,96.75,1.26,10.00,0.26,0.00,7.50,3.65,0.36,6.81,6.61,4.21,48.43,8.54,48.03,48.83,1.89,2.32,2.90,40.35
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1033.00,45544.99,22182.55,82672.75,39437.56,50503.51,16758.95,12602.62,1795.05,82672.75,4156.33,10.00,4905.23,4390.34,37069.65,-358.78,38919.74,48780.58,-1599.31,2743.09,-4202.96,29901.79,24245.73,9701.20,30271.77,24924.20,9291.24,124092.49
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2232.00,109464.93,53940.91,221408.05,102025.06,89963.55,47021.21,48636.06,5505.82,221408.05,-1614.85,1.00,9028.28,18000.17,65310.15,-8986.44,65978.30,74560.05,-12967.41,839.08,-10740.77,41604.03,12419.30,83570.64,30122.77,10476.46,10555.19,281885.90
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,992.65,88153.00,17877.00,125877.00,88401.00,89190.00,11032.00,17197.00,136.00,125877.00,-6165.00,10.00,4193.00,405.00,64858.00,-14103.00,62284.00,69064.00,-6508.00,-650.10,,52832.00,14866.19,,28452.00,12553.76,9120.01,163506.91
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1553.40,56850.70,66645.60,147207.02,96621.58,111215.18,25149.06,22539.42,965.78,147207.02,2609.64,2.00,9748.59,2745.72,49470.24,208.43,75147.81,93005.64,6671.92,7111.55,1118.79,47934.75,30242.32,17776.18,62552.92,32714.51,22670.01,357897.03
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,150.25,48463.69,54593.65,125550.53,71101.72,101110.31,26651.71,16877.62,1140.66,125550.53,9774.09,2.00,10291.04,2976.65,34862.11,9424.41,63015.85,90709.26,-1098.84,-3598.76,-7406.06,49144.98,55198.76,44741.97,53274.21,55845.81,52137.14,289752.46
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,541.15,2007.07,4398.97,8743.17,3987.31,4553.25,1252.77,2058.45,44.80,8743.17,-805.68,1.00,484.13,275.65,1557.25,-778.27,3174.02,3874.98,-1102.44,-33.02,,1035.16,428.27,,1732.98,1198.01,896.72,59516.22
Adarsh Plant,526711,,INE627D01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,32.98,5.44,-9.60,8.20,0.63,1.09,7.27,7.85,0.00,8.20,-0.58,10.00,0.22,2.30,4.51,3.40,0.49,0.87,3.02,-0.16,1.06,5.67,5.71,3.39,0.48,0.38,0.38,32.69
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1385.00,0.00,72.41,104.70,3.23,5.34,96.55,27.18,2.75,104.70,69.37,10.00,55.58,23.69,0.00,64.09,2.79,5.15,43.81,31.64,30.41,0.00,0.16,0.00,3.03,3.70,3.65,637.12
Adcon Capital,539506,,INE805Q01028,Finance,Non Banking Financial Company (NBFC),0.53,0.00,2.92,71.85,0.00,0.01,0.66,36.99,0.00,71.85,-36.33,1.00,0.09,0.00,0.00,0.65,0.00,0.01,0.97,2.92,1.43,0.00,0.00,0.00,0.00,0.00,0.00,10.51
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,147.00,0.84,72.58,105.88,2.59,1.57,85.56,9.66,0.51,105.88,75.90,10.00,36.61,7.37,0.00,12.45,0.28,0.61,0.77,1.27,,0.00,0.00,,0.28,0.15,,330.84
Add-Shop E-Reta.,541865,,INE01B501018,Retailing,E-Retail/ E-Commerce,8.40,13.17,84.98,129.57,6.46,8.07,122.05,14.33,0.00,129.57,107.72,10.00,0.52,1.28,12.77,98.67,6.10,8.25,35.80,10.54,,3.30,7.44,,7.00,3.60,0.20,23.77
Addi Industries,507852,,INE757C01021,Textiles & Apparels,Garments & Apparels,109.00,0.00,75.48,81.70,4.40,5.12,40.56,0.67,0.77,81.70,39.89,5.00,37.77,0.13,0.06,60.45,4.59,5.12,44.83,5.13,4.79,0.00,0.00,0.00,4.97,7.25,2.78,117.69
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,105.50,0.00,66.33,93.34,67.10,55.68,7.53,9.81,0.00,93.34,-2.28,10.00,5.72,2.12,0.00,41.77,19.17,22.13,-0.58,-0.13,,0.10,0.00,,0.16,0.02,,167.85
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare Services,"Healthcare Research, Analytics & Technology",21.00,6.10,23.26,62.70,2.81,10.01,56.73,21.39,0.00,62.70,35.34,10.00,0.05,18.04,13.89,29.39,3.53,10.16,28.01,20.80,,18.99,21.32,,3.03,2.28,2.36,30.31
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,224.00,12.08,506.90,676.70,192.50,279.15,396.23,79.25,12.12,676.70,316.98,2.00,85.24,50.46,55.86,221.20,182.33,257.24,204.32,100.45,47.57,69.92,23.16,18.01,160.20,77.20,80.01,2460.93
Adhata Global,531286,,INE586D01014,Consumer Durables,Plywood Boards/ Laminates,28.00,1.89,-1.74,13.34,0.23,1.13,12.32,10.37,3.37,13.34,1.95,10.00,0.09,6.33,3.20,0.46,0.31,1.13,5.34,5.90,1.75,4.24,2.65,0.00,0.54,0.43,0.00,13.20
Adhbhut Infra.,539189,,INE578L01014,Realty,"Residential, Commercial Projects",14.36,3.28,-18.39,31.17,27.04,42.98,4.13,0.83,0.00,31.17,3.30,10.00,0.00,0.00,6.47,2.72,28.60,42.96,-0.56,-31.44,-30.14,6.00,5.78,1.50,42.90,43.07,42.91,15.81
Adinath Textiles,514113,,INE207C01019,Textiles & Apparels,Other Textile Products,22.90,0.01,-4.00,4.32,0.55,4.86,1.07,0.97,0.00,4.32,0.10,10.00,0.14,0.00,0.00,-0.10,0.61,4.85,-0.38,-0.22,0.86,0.45,0.60,1.40,0.73,0.98,1.65,15.59
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,134.75,1761.40,262.01,2578.48,42.18,82.89,919.35,534.27,0.07,2578.48,385.08,1.00,813.90,20.78,1398.63,483.60,35.87,70.78,101.47,19.38,18.52,738.62,243.83,79.06,24.07,25.60,5.91,761.46
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,864.10,68.75,3419.81,3954.84,113.48,227.30,210.01,215.36,106.07,3954.84,-5.35,5.00,113.77,84.22,79.09,74.41,110.82,197.00,80.04,42.91,,54.37,62.08,,72.07,86.19,89.93,24953.29
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,70.69,5665.24,5032.39,17641.07,9648.55,13434.04,6534.50,4560.46,87.59,17641.07,1974.04,10.00,670.80,2649.55,9451.40,-813.44,11878.73,16637.20,-1061.60,-1546.62,,4100.42,5284.83,,6059.24,4940.00,,8627.79
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,345.15,156546.33,29568.01,302372.38,2034.07,3188.68,50651.52,111040.69,551.16,302372.38,-60389.17,10.00,6457.29,1641.74,110139.34,-85665.48,1652.33,2699.15,-59337.80,-43863.25,1894.18,58425.47,55966.43,15972.75,1305.39,1180.63,837.49,90346.61
Aditya Consumer,540146,,INE427V01013,Retailing,Diversified Retail,40.00,7.78,3.89,37.82,9.20,16.04,28.62,18.75,0.00,37.82,9.87,10.00,12.10,10.66,6.30,11.08,14.00,25.40,2.95,11.99,3.10,8.47,8.67,6.87,18.31,19.22,15.74,58.54
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1576.40,127.57,1574.76,3373.10,785.25,819.95,2472.84,1685.54,137.54,3373.10,787.30,1.00,236.51,1424.28,436.27,368.13,70.31,99.77,231.69,117.72,,189.93,268.61,,54.55,65.97,,18569.72
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,10.39,26.22,0.54,35.09,20.54,30.14,14.32,16.22,0.02,35.09,-1.90,10.00,0.15,1.34,33.48,-0.61,23.07,30.51,1.02,-0.12,2.96,35.59,23.51,9.26,16.65,6.20,5.33,5.56
Aditya Spinners,521141,,INE122D01026,Textiles & Apparels,Other Textile Products,18.25,15.63,29.03,67.34,53.13,116.20,9.65,9.22,0.00,67.34,0.43,10.00,0.14,0.79,15.86,-1.50,56.67,115.76,-0.45,0.22,1.46,20.54,20.11,6.79,33.76,38.04,27.67,30.55
Aditya Ultra,,AUSL,INE01YQ01013,Industrial Products,Iron & Steel Products,23.00,89.69,75.35,216.41,34.35,45.08,167.96,109.19,71.37,216.41,58.77,10.00,2.58,20.03,54.27,23.92,32.79,44.25,15.61,13.08,,46.95,43.34,,31.49,32.27,,57.13
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,512.35,412.56,626.03,1199.53,284.53,318.37,850.21,371.66,0.00,1199.53,478.55,1.00,102.48,135.76,318.64,376.54,244.15,284.79,25.24,25.59,20.62,281.82,33.62,13.32,150.34,20.93,13.32,6616.37
Adjia Tech,543269,,INE0G0V01018,IT - Software,Computers - Software & Consulting,53.42,0.05,1.32,2.27,1.06,1.22,1.06,0.07,0.00,2.27,0.99,10.00,0.03,0.00,0.05,0.97,0.65,1.22,0.61,0.03,,0.05,0.00,,1.03,0.00,0.00,4.70
Adline Chem Lab,524604,,INE276T01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,14.05,1.65,-7.46,0.12,0.00,0.00,0.12,0.04,0.00,0.12,0.08,10.00,0.07,0.02,1.36,-1.33,0.00,0.00,-1.50,-1.25,1.41,1.32,2.85,9.25,4.43,4.78,12.45,8.22
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,222.00,6.90,21.55,50.65,4.53,6.90,45.86,23.93,1.76,50.65,21.93,10.00,0.25,8.01,15.60,6.08,1.27,3.17,1.18,,,1.95,,,1.03,,,150.36
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1086.50,1.97,475.11,723.66,203.64,424.30,446.44,213.94,112.01,723.66,232.50,10.00,48.48,153.67,44.69,211.92,157.15,376.83,106.13,87.16,84.74,2.21,81.91,0.49,117.47,125.47,103.32,1890.81
Adroit Info.,532172,ADROITINFO,INE737B01033,IT - Services,IT Enabled Services,9.77,22.49,22.42,104.17,28.37,30.74,73.31,25.79,0.00,104.17,47.52,10.00,0.32,1.66,3.45,9.82,20.39,28.23,-3.53,-5.99,18.14,6.60,5.67,4.41,8.93,8.81,4.33,52.93
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,62.79,0.00,42.02,65.41,10.94,16.97,54.47,10.40,0.00,65.41,44.07,10.00,8.30,3.74,3.91,37.16,12.43,17.43,30.42,,,20.52,,,14.40,,,74.82
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1726.55,62.16,218.34,549.09,39.79,61.37,449.91,249.27,215.28,549.09,200.64,10.00,125.70,179.31,59.17,30.77,41.53,48.71,14.98,8.84,,8.51,9.89,,14.96,17.54,,1888.36
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,133.90,85.33,138.48,528.68,69.06,88.39,442.85,329.84,1.53,528.68,113.01,10.00,59.67,238.82,45.46,37.89,40.21,55.10,21.71,,,21.20,,,17.13,,,860.80
Advance Lifes.,521048,,INE900E01015,Textiles & Apparels,Other Textile Products,22.90,41.35,24.56,75.13,0.81,0.06,47.35,10.60,3.23,75.13,36.75,10.00,2.37,0.00,40.29,18.96,0.02,0.06,-2.55,2.04,19.96,43.60,43.62,68.78,2.84,2.85,0.04,14.26
Advance Meter.,534612,,INE436N01029,Power,Power Generation,20.42,18.96,81.12,114.58,56.45,92.75,57.57,20.58,0.89,114.58,36.99,5.00,3.47,3.57,12.79,18.85,60.65,89.60,4.91,-8.41,9.60,17.04,88.03,47.00,59.33,120.37,100.11,32.79
Advance Petroch.,506947,,INE334N01018,Chemicals & Petrochemicals,Commodity Chemicals,142.00,12.72,2.91,22.87,4.88,10.67,14.27,13.44,0.00,22.87,0.83,10.00,0.85,5.37,8.98,0.73,5.76,10.66,0.71,0.74,1.11,6.98,6.63,4.34,3.45,1.65,2.06,12.78
Advance Syntex,539982,,INE184U01012,Industrial Products,Packaging,4.51,23.96,-24.08,12.41,0.00,5.70,10.06,18.52,0.00,12.41,-8.46,10.00,0.07,1.26,32.74,12.02,2.68,5.70,18.62,16.18,4.39,42.28,31.45,18.44,6.29,11.35,11.87,5.00
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,311.40,34.66,1462.17,1691.90,682.97,965.78,933.46,106.73,9.31,1691.90,826.73,2.00,76.42,29.30,47.31,300.54,649.75,902.23,442.07,192.50,-21.80,34.74,27.80,115.03,619.11,562.87,491.29,3485.36
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,57.06,0.43,56.08,113.37,43.21,66.95,65.69,32.19,9.32,113.37,33.50,2.00,30.37,2.15,1.86,12.87,44.49,65.11,-12.34,-5.49,-4.70,0.90,1.37,14.84,42.53,47.15,50.78,527.45
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,223.00,786.66,812.96,3948.04,2127.93,2391.66,74.18,389.96,0.00,3948.04,-315.78,10.00,20.76,33.48,594.50,28.24,2337.32,2362.79,,,,,,,,,,1202.92
Advik Capital,539773,,INE178T01024,Finance,Non Banking Financial Company (NBFC),1.55,148.13,114.70,339.74,2.10,4.07,18.63,12.75,6.59,339.74,5.88,1.00,0.27,0.00,78.67,-4.64,2.65,5.17,6.17,10.40,5.29,4.69,2.45,0.00,1.98,2.31,2.37,94.32
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,714.85,2438.78,5906.25,12050.21,6389.80,5875.69,3744.02,1239.61,225.08,12050.21,2504.41,1.00,2389.13,439.25,2665.43,1612.47,4139.27,4758.14,16.39,79.93,46.73,835.31,253.09,218.09,2375.81,1698.71,1282.38,25091.31
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,219.00,2004.38,3634.03,7072.44,6268.22,5145.66,325.65,312.38,57.56,7072.44,13.27,10.00,56.29,18.00,3273.04,154.59,3490.55,3882.39,7.24,,,98.26,,,19.53,,,24265.01
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,137.00,1.33,91.50,231.16,73.09,52.79,154.91,116.25,0.00,231.16,38.66,10.00,3.46,101.38,40.77,24.78,38.56,41.87,9.42,,,21.31,,,10.27,,,279.05
Aeonx Digital,524594,,INE994D01010,IT - Services,IT Enabled Services,141.65,1.73,48.37,69.25,4.00,4.02,64.24,14.85,13.33,69.25,49.39,10.00,2.61,9.89,0.96,40.63,2.30,3.55,18.12,27.56,,3.62,5.99,,13.95,13.84,15.23,65.17
Aequs,544634,AEQUS,INE947N01017,Aerospace & Defense,Aerospace & Defense,145.65,785.05,135.09,1902.79,525.19,1119.26,786.61,676.42,92.96,1902.79,110.19,10.00,79.79,230.89,1106.05,277.39,660.25,1149.05,,,,,,,,,,9768.22
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,192.05,9.30,334.07,469.31,174.90,262.65,264.00,99.55,0.00,469.31,164.45,2.00,28.53,75.00,0.12,199.04,82.97,160.80,53.73,40.90,,39.13,63.46,,46.11,44.39,,2541.41
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,80.28,46.10,707.38,1056.41,304.74,377.06,627.99,160.38,46.95,1056.41,467.61,2.00,142.61,97.09,63.07,535.76,144.17,240.09,122.87,108.50,3.72,90.60,70.97,3.06,80.50,75.09,28.61,907.87
Aeroflex Neu,543743,AERONEU,INE035801013,Industrial Products,Packaging,74.74,28.58,79.43,153.18,54.16,70.54,96.91,41.75,10.00,153.18,55.16,10.00,15.96,11.87,30.59,42.68,51.10,64.33,2.03,6.80,,30.44,10.37,,18.67,13.19,,192.79
Aeron Composites,,AERON,INE0WL801011,Industrial Products,Other Industrial Products,100.05,47.57,91.20,212.82,40.32,34.15,138.36,82.36,1.83,212.82,56.00,10.00,40.35,47.53,11.83,18.66,17.68,29.09,9.67,8.05,,12.56,13.47,,7.54,8.86,2.82,170.29
Aerpace Indus,534733,,INE175N01023,Industrial Products,Iron & Steel Products,26.28,21.85,28.70,73.31,41.55,22.13,5.09,16.06,0.00,73.31,-10.97,1.00,0.03,2.80,1.06,4.57,5.31,6.02,,,,,,,,,,404.35
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,92.00,15.30,30.73,75.28,17.99,16.55,49.54,24.69,0.00,75.28,24.85,10.00,1.97,5.58,8.50,11.08,3.73,5.51,,,,,,,,,,158.43
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,982.85,215.19,2195.77,2849.18,1196.50,1270.11,1036.71,444.78,13.88,2849.18,591.93,10.00,56.17,177.04,183.00,1013.56,853.48,962.91,150.60,,,290.73,,,257.10,,,13038.27
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,924.95,26.05,195.51,275.44,17.45,18.21,101.95,25.28,7.30,275.44,76.67,10.00,0.09,8.66,18.47,35.25,0.42,0.67,21.78,,,0.04,,,0.26,,,2411.15
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,338.25,3582.44,4566.09,17470.92,2584.66,6011.52,11691.05,9025.04,1402.03,17470.92,2666.01,10.00,629.83,3564.31,2538.09,573.02,2769.83,5599.09,178.60,550.56,1250.01,1629.03,2100.78,1861.94,2304.94,1912.08,1565.56,12440.35
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1650.95,38.43,3228.04,3914.00,1413.47,1580.08,2259.36,625.21,313.64,3914.00,1634.15,2.00,1059.85,433.15,182.63,1331.47,1144.36,1405.11,514.17,102.59,,148.64,67.50,,699.33,162.77,27.46,23238.36
Affordable Robo.,541402,AFFORDABLE,INE692Z01013,Industrial Manufacturing,Industrial Products,207.65,65.39,90.83,237.05,60.14,34.98,146.22,97.11,3.57,237.05,49.11,10.00,4.75,31.56,46.22,93.72,12.98,26.20,35.93,30.90,,30.81,24.10,,13.01,15.31,10.34,233.54
AG Ventures,506579,,INE321D01016,Chemicals & Petrochemicals,Commodity Chemicals,127.00,29.33,258.53,351.60,130.90,101.75,83.95,17.86,2.14,351.60,66.09,10.00,9.85,6.10,138.69,123.71,465.09,731.75,110.90,62.11,36.70,189.08,154.31,107.02,453.29,354.07,327.77,126.88
Agarwal Float,,AGARWALFT,INE0MLA01012,Industrial Products,Glass - Industrial,32.00,17.04,12.72,38.48,0.39,0.80,33.54,17.73,0.00,38.48,15.81,10.00,0.09,0.33,13.22,16.25,0.28,0.68,5.44,2.19,,11.42,11.20,,0.29,0.36,,23.18
Agarwal Fortune,530765,,INE510B01018,Industrial Products,Glass - Industrial,21.47,1.89,-2.73,2.95,0.36,0.82,2.60,0.36,0.00,2.95,2.24,10.00,0.00,0.36,0.09,0.41,0.03,0.45,0.28,-0.08,0.12,0.00,1.01,2.63,0.02,0.02,0.04,7.38
Agarwal Indl.,531921,AGARIND,INE204E01012,Chemicals & Petrochemicals,Petrochemicals,716.55,416.71,641.52,1344.20,727.64,823.12,576.70,537.48,5.07,1344.20,39.22,10.00,44.59,224.78,360.83,63.76,589.13,678.83,108.71,51.17,15.85,171.03,90.27,41.04,218.90,101.83,61.52,1071.80
Agarwal Toughene,,AGARWALTUF,INE0P8X01016,Industrial Products,Glass - Industrial,102.45,21.20,88.81,134.66,23.98,35.21,98.29,18.53,0.00,134.66,79.76,10.00,12.96,1.16,29.24,8.06,14.64,24.08,3.75,,,26.42,,,17.48,,,181.07
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,640.15,459.90,2204.25,3363.91,2032.25,3034.49,1086.93,734.83,308.09,3363.91,352.10,2.00,15.41,194.64,616.13,400.76,1969.82,2842.08,631.58,276.28,155.74,1163.32,995.10,751.43,1529.08,1819.68,1681.07,4141.58
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",248.05,142.58,324.70,1264.55,282.67,337.96,965.28,823.52,28.54,1264.55,141.76,1.00,14.74,17.75,137.68,20.21,251.99,296.28,25.51,83.27,53.00,41.90,104.99,30.00,121.87,28.53,14.84,3030.30
Agio Paper,516020,,INE112C01011,"Paper, Forest & Jute Products",Paper & Paper Products,4.01,15.97,-31.84,7.45,0.90,1.74,0.30,11.06,0.00,7.45,-10.76,10.00,0.05,0.34,42.31,-8.21,0.99,1.73,-10.09,-7.52,-21.80,41.93,13.94,43.88,1.15,1.31,3.53,6.47
Agni Green,,AGNI,INE0LF301013,Construction,Civil Construction,19.45,10.84,12.17,49.09,3.38,7.42,33.49,8.40,9.37,49.09,25.09,10.00,0.09,5.40,8.85,16.25,3.71,7.38,15.08,14.99,,12.19,8.95,,3.82,4.83,,38.00
Agri-Tech India,537292,AGRITECH,INE449G01018,Agricultural Food & other Products,Other Agricultural Products,138.40,0.00,94.12,101.07,9.39,12.92,91.68,1.00,43.60,101.07,90.68,10.00,0.04,0.11,0.00,90.73,10.65,13.44,58.24,53.83,2.72,3.54,0.63,3.53,10.51,22.71,44.47,82.22
Agribio Spirits,539546,,INE679E01015,Beverages,Breweries & Distilleries,233.85,14.19,55.08,81.99,0.19,0.73,26.25,1.82,0.00,81.99,24.43,10.00,0.91,1.06,2.39,5.48,0.30,0.73,3.51,,,0.84,,,0.01,,,254.52
Agro Phos India,,AGROPHOS,INE740V01019,Fertilizers & Agrochemicals,Fertilizers,35.54,25.91,48.33,159.18,21.98,33.36,131.72,87.10,0.00,159.18,44.62,10.00,2.93,48.94,28.72,30.45,24.36,32.98,27.02,27.53,6.77,12.76,18.18,17.90,21.01,13.42,14.35,72.05
AGS Transact,543451,AGSTRA,INE583L01014,Financial Technology (Fintech),Financial Technology (Fintech),3.90,1069.16,413.42,2120.86,630.61,1560.69,1225.12,1033.02,14.13,2120.86,192.10,10.00,113.46,307.15,1230.89,261.17,804.02,1562.51,473.91,-137.04,,1622.34,1105.30,,964.75,1007.54,493.07,50.08
Ahasolar Technol,543941,,INE0NEV01011,Retailing,E-Retail/ E-Commerce,86.50,0.23,11.57,21.44,2.72,2.08,10.40,6.32,0.33,21.44,4.08,10.00,1.47,0.85,0.00,8.24,0.96,1.50,,,,,,,,,,26.66
Ahimsa Industrie,,AHIMSA,INE136T01014,Industrial Products,Plastic Products - Industrial,23.70,0.01,2.89,8.58,0.11,7.87,7.27,0.20,0.00,8.58,7.07,10.00,0.20,0.16,2.14,6.90,4.93,12.26,8.08,5.91,-3.71,4.16,7.51,13.54,6.12,7.75,9.88,12.97
Ahlada Engineers,,AHLADA,INE00PV01013,Consumer Durables,"Furniture, Home Furnishing",51.00,37.27,125.17,216.64,64.56,136.34,144.98,70.19,23.76,216.64,74.79,10.00,2.94,21.68,42.92,61.69,77.32,136.30,36.79,18.84,,31.06,35.11,,94.37,83.59,28.53,65.89
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction,Civil Construction,899.10,74.68,1910.74,3945.85,550.71,781.54,3073.54,1468.74,2507.21,3945.85,1604.80,2.00,1028.64,784.62,105.03,1416.48,336.52,600.05,676.43,449.39,37.03,53.93,91.07,173.14,227.88,226.08,189.70,6022.86
Ahm. Steelcraft,522273,,INE868C01018,Industrial Products,Iron & Steel Products,180.90,0.00,108.75,190.18,2.19,0.06,186.19,66.27,0.00,190.18,119.92,10.00,1.73,62.84,0.00,5.33,0.00,0.01,4.27,4.78,3.36,0.00,0.00,0.00,3.97,4.39,1.69,273.03
AI Champ.Inds.,532806,,INE768E01024,"Paper, Forest & Jute Products",Jute & Jute Products,29.00,61.60,-59.32,234.30,51.25,83.68,164.06,104.75,103.23,234.30,59.31,5.00,3.12,71.92,41.52,98.12,53.61,81.71,141.30,119.98,33.39,64.29,56.84,116.04,64.76,71.69,59.39,89.19
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4022.10,1021.86,7348.29,8889.14,1139.58,2015.08,7499.75,1407.82,530.04,8889.14,6091.93,2.00,566.18,204.05,461.06,2273.43,1110.29,1856.76,2367.80,1363.89,900.62,9.83,126.71,98.63,790.00,889.66,671.11,37534.42
Aik Pipes & Poly,544072,,INE0QFT01015,Industrial Products,Plastic Products - Industrial,24.00,5.58,15.73,29.29,4.89,6.13,19.93,6.41,0.00,29.29,13.52,10.00,0.26,0.98,5.10,13.49,4.23,5.01,1.25,-0.39,,4.32,3.71,,1.28,1.08,,15.28
Aimco Pesticides,524288,,INE008B01013,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,60.90,16.76,14.66,136.73,29.37,44.72,96.70,109.42,5.33,136.73,-12.72,10.00,2.10,82.09,19.36,-0.12,26.50,41.87,18.73,18.37,-2.07,0.10,9.39,0.05,24.89,18.90,14.22,59.58
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,909.95,0.49,178.60,260.09,31.55,48.83,228.31,60.32,20.91,260.09,167.99,10.00,27.33,23.66,14.59,41.32,22.61,35.87,,,,,,,,,,1857.55
Aion-Tech Soluti,531439,GOLDTECH,INE805A01014,IT - Software,Software Products,44.40,100.28,246.33,426.42,295.53,27.73,91.52,89.04,0.26,426.42,2.48,10.00,20.14,15.01,15.52,36.82,27.14,33.50,51.90,29.52,7.31,3.73,4.10,12.78,19.26,19.34,19.30,232.04
Airan,543811,AIRAN,INE645W01026,IT - Services,IT Enabled Services,18.39,1.07,123.17,185.07,78.66,130.02,93.27,18.74,23.23,185.07,74.53,2.00,2.95,2.76,0.76,51.16,81.70,125.34,46.86,36.26,,5.49,11.02,,62.56,57.49,56.54,229.95
